Name,Description,Price,Image
Nike Winflo 9,Women's Road Running Shoes,$65.97$100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/01c36698-3619-46c7-be62-2280fbe50635/wio-9-womens-road-running-shoes-0MS1bT.png"
Nike Blazer Mid '77,Baby/Toddler Shoes,$65,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/02fecc18-c7a2-4168-85c2-d4303084f9b7/blazer-mid-77-baby-toddler-shoes-tb5swS.png"
Nike Run Swift 3,Men's Road Running Shoes,$60.97$75,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8ff633dd-f73d-4fa0-a9e3-4394b04e8a73/run-swift-3-mens-road-running-shoes-KtXxs0.png"
Air Jordan 1 Low,Women's Shoes,$88.97$110,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e146ef53-c261-4e4b-8d63-bf7f90bb03a5/air-jordan-1-low-womens-shoes-rJrHLw.png"
Nike Air Force 1 LE,Big Kids' Shoes,$90,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d9f1d9ee-a848-4a36-aab9-48b241078ebb/air-force-1-le-big-kids-shoes-3JNSvS.png"
Nike Air Force 1,Big Kids' Shoes,$90,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/176e4195-496d-4df6-81e8-134b6e4b261b/air-force-1-big-kids-shoes-km6NJj.png"
Nike Air Force 1 '07,Women's Shoes,$110,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0d9d86e4-11b5-43ae-8462-c7bd05096ec8/air-force-1-07-womens-shoes-PqdxJw.png"
Air Jordan I High G,Men's Golf Shoes,$180,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3f796e1e-1f14-444c-bef1-ffd2da6b62b4/air-jordan-i-high-g-mens-golf-shoes-ZgQdl6.png"
Air Jordan 1 Mid,Men's Shoes,$100.97$125,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fabe3ef1-263d-42ee-b24b-09a9a47a61ee/air-jordan-1-mid-mens-shoes-b3js2D.png"
Nike Blazer Mid '77,Big Kids' Shoes,$85,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d77c8f9a-c6e8-40a5-8332-910312bc86a5/blazer-mid-77-big-kids-shoes-4VfSTd.png"
